Vacancy,Link to a vacancy,Salary,Company,Short description,Location,Date from creation,Full description,Link to a company
Front End Developer,https://ph.indeed.com/rc/clk?jk=00ef8a67a15af4b9&fccid=814af3e8489223f7&vjs=3,,SEO Marketing Service Inc.,"Since we are doing remote work during this pandemic, we take into consideration the following qualifications:Willing to work in Paranaque City.",Parañaque,30+ days ago,"Extensive knowledge of PHP, CSS, HTML and JavaScript.Familiar with the WordPress CMS.Knowledge of development with Genesis Framework is a huge plus.Excellent web and database programming skills and good- appreciation of design.Excellent problem-solving skills and willingness to work flexibly but in an organized manner.Strong analytical and planning skills.Good communication and presentation skills.Excellent problem-solving skills.Fast learner in the technology field.Willing to work in Paranaque City.Since we are doing remote work during this pandemic, we take into consideration the following qualifications:self starter with excellent skill in written and verbal communicationcomfortable with working remotelytech savvy and with stable internet connection and laptop to work with",https://ph.indeed.com/rc/clk?jk=00ef8a67a15af4b9&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKl4MHiIgYP134YW-Suc9U6HkN0wkll9wDHc3mnStM4Hmg&astse=2f6f9ad8e66f2253&assa=243
"Jakarta, Indonesia",https://ph.indeed.com/rc/clk?jk=149b9c7223504cd6&fccid=fc7b76b1aa94f7b7&vjs=3,,pearlpay,"Jakarta, Indonesia | Full-Time.PearlPay is an all-Filipino owned Fintech company in the Philippines that provides end-to-end digital banking solutions.",Manila,30+ days ago,"Jakarta, Indonesia | Full-TimeCompany DescriptionPearlPay is an all-Filipino owned Fintech company in the Philippines that provides end-to-end digital banking solutions. The company’s mission is to create a unified payment network in the Philippines and Indonesia. We believe that everyone should have access to world-class and up-to-date technological solutions to save their time and money, and connect better with their loved ones.Note: This job vacancy is intended for applicants from Indonesia only.Job DescriptionManage in extending PearlPay’s Core Banking System in compliance with Indonesia’s regulations and requirements.Collaborate with PearlPay’s Core Banking System team in Manila, Philippines.Translate functional requirements into detailed designs.Actively contribute to software development of products which engages and delights our clients.Conduct thorough unit, integration, and automated testing.Collaborate with DevOps engineers to deploy, monitor, and optimize large-scale applications.Collaborate with customer success to resolve issues.Deliver technical documentation for use by customers.Experience with Mifos X is a plus.QualificationsBS or MS in Engineering, Math, Computer Science, or equivalent, with at least A- GPA, from a top technical university in Indonesia.5+ years of experience in Java, Spring/Spring Boot, Hibernate, AngularJS, Git, and MySQL for a commercial software environment.3+ years of experience in financial services like core banking solutions and cash management systems.Experience using Amazon Web Services (AWS) for cloud-hosted operations is a huge plus.Strong knowledge and experience in two or more of the following areas: databases, Linux, queueing, banking and financial services, analytics/reporting, machine learning, and/or performance.Proficient in English and Bahasa.BenefitsGovernment Mandated BenefitsPaid Leaves13th Month Pay (THR)Flexible HoursRemote WorkTraining AllowanceBenefitsGovernment Mandated BenefitsPaid Leaves13th Month Pay (THR)Flexible HoursRemote WorkTraining AllowanceAdditional InformationPearlPay encourages its employees to explore more opportunities for professional growth and help in creating social impact through the company’s initiative of improving financial inclusion in the country.",https://ph.indeed.com/rc/clk?jk=149b9c7223504cd6&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKkXcttVKqWaKKe4bcFiVDeekN0wkll9wDHc3mnStM4Hmg&astse=a2504a5831cbdda3&assa=3708
Solution Architectnew,https://ph.indeed.com/rc/clk?jk=4b971344d5e51600&fccid=2d7b3336dfa1c1f4&vjs=3,,Diebold Nixdorf,"Be more at Diebold Nixdorf.Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper…",Makati,7 days ago,"Expect more. Connect more. Be more at Diebold Nixdorf. Our teams automate, digitize, and transform the way more than 75 million people around the globe bank and shop in this hyper-connected, consumer-centric world. Join us in connecting people to commerce in this vital, rewarding role.Position OverviewThe Solutions Architect will provide thought leadership, innovation and detailed solution design to Diebold-Nixdorf customers, and develop a detailed understanding of the Financial Services sector and Diebold-Nixdorf offerings in that sector. Working with customers, sales and internal technical teams they will play a key role in ensuring that delivery programs comply to design standards and meet the requirements of the agreed design in the delivery of customer projects.You are responsible forManaging relations with software architects, developers, operational personnel and technology leadership (CTO, CIO, Directors etc.) internally as well as within prospect organizations and/or existing customers.Proactively liaising with sales leads to ensure a complete personal understanding of the client requirement and business issues to be addressed by any sales proposals involving service deliveryLeading solution architecture design and end-to-end solution blue prints to meet functional and architectural requirements aligning nonstandard requirements with the portfolio roadmap.Owning and producing, in conjunction with the Diebold Nixdorf solution specialist teams, functional design documents, present the solution architecture to the client and take a leading role in the application design and integration aspects of the solution.Developing Diebold Nixdorf internal project estimates and cost models for the solutions proposed to the clientStructuring the overall concept into development projects and take a leading role in the application design and integration aspects of the solutionEnsuring compliance to architectural and development standards during all phases of solution development including by establishing systems to monitor compliance to architectural standards and to assure technical integrity between development projectsCreating “value propositions” of the proposed solutions for Sales and other Diebold Nixdorf employees to articulate in a consistent format to the clientProviding assistance to prospects with choosing the right set of Products and designing the appropriate Application-integration.Positioning technology correctly while providing prospects/customers with a framework and methodology for evaluating Diebold-Nixdorf technology and an assessment of product fit to the customer's enterprise/application's architectural needs.Maintaining a high level of commercial and technical understanding of the relevant business area and technical specialism and to be able to provide support and guidance to more junior team members.Adapt and extend the company standard solution and individual software with respect to the functional scope, timeline and costs.QualificationsExperience in working in a distributed often global virtual team environment with international Language EnglishExperience in banking software projects, preferred in self-service channel solutionsExperience in C-level engagement and stakeholder managementAbility to design and implement reliable, scalable, highly performing solutionsAbility to understand and clearly articulate current and future technology platforms and their benefitsExcellent analytical and problem solving skillsAbility to present technical information targeted at the appropriate levelA pragmatic but innovative problem solver combined with a highly delivery focused approachProven experience of delivering technical projects in a quality focused environmentKnowledge of the methodology & tools of agile software development - Jira, Confluence, Bitbucket, Nexus, SonarQube, etc.Knowledge of both Windows based application development and data base server applications (JBoss, MS SQL, JEE)Preferred QualificationsGood knowledge of the Diebold Nixdorf software portfolio – especially in the self-service domain and payment industryATM message protocol like NDC, DDC, 91xWindows Hardening concept and project experiencesExperiences in sizing and performance designing of data base applicationsWhy should you join Diebold Nixdorf?Brightest minds + technology and innovation + business transformation The people of Diebold Nixdorf are 23,000+ teammates of diverse talents and expertise in more than 130 countries, harnessing future technologies to deliver personalized, secure consumer experiences that connect people to commerce. Our culture is fueled by our values of collaboration, decisiveness, urgency, willingness to change, and accountability.Diebold Nixdorf is an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.Areas of InterestInformation Security and TechnologyExperience LevelMid-Senior Level AssociateCountryPhilippinesPrimary LocationPH-MakatiRemote - Work from HomeYesRemote LocationRemote, Philippines",https://ph.indeed.com/rc/clk?jk=4b971344d5e51600&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKm9SK0YHxqJ50DDyuGDKKWvkN0wkll9wDHc3mnStM4Hmg&astse=da40641906f0e0a0&assa=8383
Senior Firmware Design Engineer 2/2new,https://ph.indeed.com/rc/clk?jk=3a57b270c42f637b&fccid=c3d73a6fd53e8543&vjs=3,,Emerson,"Detailed programming/algorithm work as per product requirements.Applicant must be willing to work in Ortigas Center, Pasig.",Pasig,1 day ago,"Senior Firmware Design Engineer 2/2Requisition ID: (20007459)Primary Location: Philippines-National Capital Region-PasigJob Function: EngineeringJob Posting Date: Sep 20, 2020, 9:01:02 PMJob DescriptionThis key design position will be responsible for development and implementation of algorithms, which enable the functionality of switched mode power supplies (SMPS), UPS systems and electronic controllers for heating cable systems. As such, the successful candidate will actively participate in the new product development cycle, including requirements, design, verification, release and documentation, working as a key contributor to our development efforts.Job Responsibilities High level design and architecture development.Detailed programming/algorithm work as per product requirements.Perform Firmware (FW) Unit Testing and Integration Testing.Prepare test cases for system level FW testing on prototype and finalized builds.Perform system level testing with Electronics Design Team.Perform failure analysis and troubleshooting of digital and analog circuits.Prepare and maintain firmware-related documents and specifications.Participate in peer design and code reviews.Training, development program and mentoring junior team members.Firmware qualification and evaluation for both communication and cybersecurity requirements.Maintaining existing products.Education/ExperienceBachelor’s degree in Electronics, Electrical or Computer Engineering. Master’s preferred.Minimum 5 year’s experience in Embedded Firmware Design.Hardware design experience using Microcontrollers and Digital Signal Controllers (ARM, PIC, NXP). PIC/32bit microcontroller experience preferred.Experience in high speed circuit and board design.Experience in network and industrial communication protocols (TCP-IP/ UDP, HTTP, ARP, Ethernet/IP, HART, MODBUS, Profinet) is an advantage.Experience in Agile-Scrum Development and automation is a plus.Experience with color and touch display systems and WIFI module development is a plus.Knowledge/SkillsC and C++ Language proficiency is a must.Implementing embedded communication protocols: I2C, UART, SPI, USB, CAN, etc.Proficiency in implementing State Machine Algorithms and/or RTOS is an advantage.Knowledge in HTML webpage coding with Javascript and CSS is an advantage.Knowledge in Industrial IoT is a plus.Knowledge in Switch Mode Power Supply functions and topologies is an advantage.Knowledge in Hashing and Encryption Algorithms is a plus.Knowledge in version control systems (e.g. Git) is a plus.Strong technical and analytical skills.Foster Teamwork: Collaborate with team members to set goals, resolve problem, and make decisions that enhance organizational effectiveness.Resourceful and organized in taking steps throughout the developmentExcellent communication skills: Speak, listen and write in a clear, thorough and timely manner using appropriate and effective communication tools and techniques.Make Decisions: Assess situations to determine the importance, urgency and risks, and make clear decisions which are timely and in the best interests of the organization.Applicant must be willing to work in Ortigas Center, Pasig.Willingness to travel to remote manufacturing facilities and customer sites as requestedAbout EmersonAt Emerson, we are innovators and problem-solvers, focused on a common purpose: leaving our world in a better place than we found it. Each and every day, our foundational values—integrity, safety and quality, supporting our people, customer focus, continuous improvement, collaboration and innovation—inform every decision we make and empower our employees to keep reaching higher.As a global technology and engineering leader, we provide groundbreaking solutions for customers in industrial, commercial, and residential markets.Our Automation Solutions business helps process, hybrid, and discrete manufacturers maximize production and protect personnel and the environment while optimizing their energy and operating costs. Our Commercial & Residential Solutions business helps ensure human comfort and health, protect food quality and safety, advance energy efficiency and create sustainable infrastructure.Emerson, a Fortune 500 company with $17.4 billion in sales, more than 20 Innovation, Solutions & Engineering Centers, and 200 manufacturing locations worldwide, is committed to helping employees grow and thrive throughout their careers.Whether you're an established professional looking for a career change, an undergraduate student exploring options or a recent MBA graduate, you'll find a variety of opportunities at Emerson. Join our team and start your journey today.",https://ph.indeed.com/rc/clk?jk=3a57b270c42f637b&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmNQHdLAZHgfjVDMAFWs_OlkN0wkll9wDHc3mnStM4Hmg&astse=21dd284c74fbe3e4&assa=2903
Social Media Strategist,https://ph.indeed.com/rc/clk?jk=defa73098afb7bf4&fccid=814af3e8489223f7&vjs=3,,SEO Marketing Service Inc.,"Since we are doing remote work during this pandemic, we take into consideration the following qualifications:Tech savvy and with stable internet connection and…",Parañaque,30+ days ago,"Must have a bachelor’s degree in Marketing, Communications, or a related fieldMust have a background in social communication and working with social media platformsMust be able to analyze and interpret insights and targetingMust have at least 1 year work experience in social media and/or digital marketingHas an experience in being an officer for co-curricular organizations during college is a plusSince we are doing remote work during this pandemic, we take into consideration the following qualifications:self starter with excellent skill in written and verbal communicationcomfortable with working remotelytech savvy and with stable internet connection and laptop to work with",https://ph.indeed.com/rc/clk?jk=defa73098afb7bf4&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKkDgtbG8Uhz9pN2AV7uo0yNkN0wkll9wDHc3mnStM4Hmg&astse=3c2ac8d207a130d9&assa=6569
L2 Service Desk Engineer(Temporary work from home),https://ph.indeed.com/rc/clk?jk=389060ad3e2e1f9e&fccid=7544d557f15468e0&vjs=3,,Outsourced Quality Assured Services Inc,Eastwood-Temporary work from home.Can work as part of a team.Work with clients directly over the phone and using remote software.,Philippines,10 days ago,"Job DescriptionWork with our Service Desk, Documentation, Remote Monitoring/Management and all other system software to accept and resolve L1 and L2 service requests, incidents and problems.Work with clients directly over the phone and using remote softwareWorking with our NOC team, responsible for escalations on all desktop, network and server infrastructure service tickets to ensure service levels are maintained.Performing remote response and resolution of server, virtualisation and systems issues.Monitor and respond to end user client events, reported incidents and service requests (e.g. desktop, server, virtualisation and application) as they arise.Proactive identification and analysis of issues (including P1 incidents, logs, analysis, and vendor alerts) and manage problem through to resolution.Input into development and documentation of service management procedures and standards to ensure engineering best practices are maintained.Daily activitiesAccept and resolve tickets, service requests/incidents/problems, using our Service Desk softwareAccept client facing phone calls and contact clients via phone and/or email to assist in resolving incidents and problemsUse remote management software to log into client PCâ€™s and resolve service requests/incidents/problemsAnswer the phone with a cheerful and enthusiastic tonePerform initial fault finding and basic troubleshooting of both incidents and problemsDeal with escalations from Outsourced NOCAssist outsourced NOC with resolution QualificationsMandatory FeaturesExcellent customer service skills with clear verbal communicationAt least 1-year prior experience with Systems Integrator or Managed Services Provider is a mustExcellent troubleshooting skills and the ability to follow proceduresCan work as part of a teamExperience with MS Server operating systems and ancillary services (Windows Server 2008R2 and 2012, Remote Desktop Services, AD, DFS, DHCP, DNS, Scripting skills)Experience with mobile device troubleshooting (iPhones, iPads, Android phones/tablets)Intermediate to Advanced skills encompassing:Microsoft Server and Desktop OS troubleshooting skills across all current versionsMicrosoft Office 365 troubleshooting and configuration skillsNetwork (fundamental) troubleshooting skillsOffice 365 supportWould be Nice FeaturesAny SharePoint Online and Microsoft Azure skills or other cloud servicesExperience with Apple Mac Desktop OSExperience with Solarwinds N-Central RMMExperience with Autotask Ticketing SystemExperience with ITGlue Documentation SystemExperience with StorageCraft Shadow Protect backup softwareEducation / Training (at least one of the following): \Citrix / VMware - any of the following certs: CCA / CCAA / VCPMicrosoft Certifications (MCSA /MCSE/MCITP)Storage certifications from the following vendors (IBM, NetApp, EMC, HP) Additional InformationLocationEastwood-Temporary work from homeWorking Schedule:Monday-Friday 5:30AM-2:30PM Manila TimeBy clicking on the ""I'm Interested"" button I hereby allow Outsourced Quality Assured Services, Inc. (""Outsourced"") to store and collect my personal information for the purposes of employment application.As such, I agree and authorize Outsourced to collect, store, or continue to use my personal information for the above-stated purpose, and to retain my personal information for a period of 1 year,and for these purposes only.Job Description * Work with our Service Desk, Documentation, Remote Monitoring/Management and all other system software to accept and resolve L1 and L2 service requests, incidents and problems. * Work with clients directly over the phone and us",https://ph.indeed.com/rc/clk?jk=389060ad3e2e1f9e&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmczB_mt-wLmMqH-eZH5nEjkN0wkll9wDHc3mnStM4Hmg&astse=a8e95aafc6792be5&assa=1145
Draftsperson,https://ph.indeed.com/rc/clk?jk=48ca7fe133d7ff11&fccid=7a4627f56b8cce76&vjs=3,,MicroSourcing International Inc,Good time management skills and able to work to deadlines provided.Must have good communication skills and be able to work effectively while unsupervised to…,Eastwood City,21 days ago,"You will be working remotely for a West Australian building company as a key team member of the drafting department. Reporting directly to the drafting coordinator/drafting manager you will be tasked with all facets of structural drafting and 3D modeling to prepare engineering design drawings and shop detail drawings to support the fabrication and construction of the project. Your knowledge of Tekla Structures and demonstratable experience with Australian projects will be critical to your success.Job Tasks and responsibilitiesWorking remotely, you will produce 3D models, structural design drawings and shop drawings using Tekla Structures in accordance with the company best practice.Communicate clearly with and accept direction from the drafting coordinator/drafting manager.Collaborating and interacting with other staff members via scheduled Zoom/Skype video meetings as well as a continuous all-day video conference to help the remote offices remain connected and encourage the team environment.Other drafting related activities as requested to the best of your abilitiesRequirements3+ years experience structural drafting/ detailing a variety of building and infrastructure projects.Experience using Tekla Structures.Some experience using Autocad, Revit or Sketchup would be advantageous, though not essential.Must have good communication skills and be able to work effectively while unsupervised to deliver projects on time.Willing to accept constructive criticism and learn, but also have enough confidence in their skills to identify problems and communicate solutions well.Good time management skills and able to work to deadlines providedWilling to work in Eastwood, Libis, Quezon City from Monday to Friday, 7am-4pm",https://ph.indeed.com/rc/clk?jk=48ca7fe133d7ff11&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKljky85MYVr32NydGwlNGjhkN0wkll9wDHc3mnStM4Hmg&astse=4f7424fa11140c98&assa=5129
Auctioneer,https://ph.indeed.com/rc/clk?jk=86498066f1f5c2ad&fccid=dd616958bd9ddc12&vjs=3,,,"Interviews will be through remote set-up.With at least 1 year of work experience as an Auctioneer of any items such as appliances, furniture, construction…",Pasay,30+ days ago,"Client Industry:TRADINGJob Description and Qualification:Job DescriptionPrepares the auction venue for the eventProvides good customer service in relation to the products being offeredEnsures that all data about the products are accurate and correct in the systemOrganizes and hosts auctionsPresents each product for saleMaintains good rapport with customers by stimulating desires to buy and to close in highest bidQualificationsGraduated in any four year courseWith at least 1 year of work experience as an Auctioneer of any items such as appliances, furniture, construction materials, etc.Interviews will be through remote set-up.",https://ph.indeed.com/rc/clk?jk=86498066f1f5c2ad&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKkkqzqkVJ6Grx_dAGAGttGAkN0wkll9wDHc3mnStM4Hmg&astse=8187fbcb07c62da2&assa=9116
Senior Training Specialistnew,https://ph.indeed.com/rc/clk?jk=c35e608c402fcc1f&fccid=fe2d21eef233e94a&vjs=3,,Amazon,"Â· Demonstrated experience working with remote teams.Become part of a fast moving, vibrant work environment that is experiencing dramatic growth.",Philippines,6 days ago,"Job Description :Become part of a fast moving, vibrant work environment that is experiencing dramatic growth. Amazon Seller Support currently generates great part of Amazon revenues and strategically drives increased product selection for customers which makes Amazon the most valued online marketplace in the world.Job Description:As an individual contributor, the Seller Support Senior Training Specialist position for Amazon.com in will be responsible for training delivery, testing administration, Learning Management System (LMS) administration, training system administration and coordination for all new hires, specialty training and certification for our seller support division. Training coordination will include communicating with appropriate business owners (site leader and operations managers), Training Manager, other Seller Support Trainers, training mentors and instructional designers to ensure all trainings are conducted on-time and with sufficient resources and facilities. Training delivery will include facilitating a blended learning model. Senior Training Specialist reports to Site Training Manager.If needed, the person hired for this Senior Training Specialist role must be able to lead and coach new trainers, assist in developing them as trainers and support them throughout their new training certification and ramp.In addition, the Senior Training Specialist will partner with the Global/Regional Training Manager to administer testing and certification, managing the training calendar, training reporting, scheduling, and partner with site leadership to deliver all training requests. This role will also include using surveys, quizzes, quality metrics and other available tools to evaluate the effectiveness of training and assess new Associate learning and skill development.Basic Qualifications :Basic Qualifications:Â· Demonstrated experience working with remote teamsÂ· Demonstrated experience leading and coaching trainersÂ· Expertise in planning, implementing and assessing trainingÂ· Expertise in administering employee certification programÂ· Excellent communication skills for the purpose of knowledge transfer and skill development, including superior skill in explaining technical topics to novices and collaborating with subject matter experts and managers.Â· Excellent coordination and organization skills.Â· Native level EnglishÂ· Excellent one-to-many and one-to-one communication skills in both classroom and tutorial settings.Â· Demonstrated experience developing courseware, job aids and other training materialsÂ· Demonstrated experience delivering soft skills, customer service, technical skills and systems trainingÂ· Excellent classroom management and blended learning facilitation skills.Â· Demonstrated knowledge of adult learning, training practices and certification programs especially in technical support contexts.Â· At least 3-5 yearsâ€™ experience in a lead training role, preferably technical training.Preferred Qualifications :Preferred QualificationsÂ· Experience in a multinational organizationÂ· Training certification a plusÂ· Vietnamese language competency a plusJob Description : Become part of a fast moving, vibrant work environment that is experiencing dramatic growth. Amazon Seller Support currently generates great part of Amazon revenues and strategically drives increased product selection for customers",https://ph.indeed.com/rc/clk?jk=c35e608c402fcc1f&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKmemrjUFqsemEC3zANp9xE1kN0wkll9wDHc3mnStM4Hmg&astse=5d22c1effa2b2716&assa=3565
Marketing Copywriter,https://ph.indeed.com/rc/clk?jk=501588d8f0ec4e01&fccid=95ba0f0f3bc059a8&vjs=3,,TOP Agency,Detail-oriented and self-motivated in a remote work capacity.If you want the feel of a fast-growing startup with the variety of client work that comes from a…,Manila,30+ days ago,"Do you have experience writing in a variety of industries and forms and can communicate complex (and sometimes dry or technical) topics in clear, concise, creative ways to a variety of audiences?Do you have a knack for knowing what others will find interesting and shareable? Can you turn ideas into high-quality prose in a matter of minutes, not hours? Do you ever read BuzzFeed headlines and think you could have done better than that, and if you had, you'd know what to do with the clicks and buzz generated?If so, you could make a great Marketing Copywriter.It's an amazing opportunity for the right type of person because of the varied nature of our business development and creative work and the opportunity to flex all of your left and right brain thinking.Duties:Create compelling content – adapting communication needs per channel, industry, audience, timeframe and locationRevise, edit, proofread and fact check your own copy to ensure accuracy of information and writing mechanicsParticipate in creative brainstorm sessions and drafts first round copy for campaigns and projectsCraft the marketing strategy and approach before writingCreate copy for fully integrated programs, in support of the marketing and content strategyDemonstrate experience analyzing and writing content to improve SEORequirements:3+ years work experience at a PR, advertising, or digital agency (or else “in-house” experience at a prominent brand, media outlet, or fast-growing startup)SEO experienceWeb-based creative portfolio demonstrating a range of writing samples from marketing to technicalDetail-oriented and self-motivated in a remote work capacityExcellent written and verbal skillsExperience working on agency teams or familiarity with marketing, creative, advertising or other similar agency servicesBachelor's degree or higherAbout TOP Agencyhttps://topagency.com/TOP is an integrated agency network providing powerful and full-service solutions for the world. We spread ideas and we help to grow brands. We’re proudly independent and composed of subject matter experts and award-winning thinkers, designers, content creators, digital storytellers and developers. We've become the world's fastest-growing PR, social, and digital agency because of our unique story-based and data-driven approach.If you want the feel of a fast-growing startup with the variety of client work that comes from a top agency, then you've come to the right place.",https://ph.indeed.com/rc/clk?jk=501588d8f0ec4e01&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKleb2xJ9Qjc-GZI-B_VDnVWkN0wkll9wDHc3mnStM4Hmg&astse=fa1a740e83262bcb&assa=7163
Call Center Operations Manager,https://ph.indeed.com/rc/clk?jk=e8cd3d4c9483ac16&fccid=728c395148e5a2db&vjs=3,,FIS Global,Great work space with dedicated and motivated colleagues.Ability to work both independently and in a team environment.What you will be doing.,Taguig,12 days ago,"Position Type :Full timeEducation Desired :Bachelor's DegreeAre you curious, motivated, and forward-thinking? At FIS you’ll have the opportunity to work on some of the most challenging and relevant issues in financial services and technology. Our talented people empower us, and we believe in being part of a team that is open, collaborative, entrepreneurial, passionate and above all fun.What you will be doingOversee one or more teams of customer service associates who handle customer service inquiries and problems via phone and/or email.Monitor operations to ensure adherence to service level standards and company/department policies and procedures.Ensure professional and courteous customer support services are delivered to remote a productive and positive relationship with customers.Ensure adequate phone coverage including making decisions regarding scheduling changes.Act as an escalation point for resolving the most difficult customer issues.Evaluate the quality of customer service associates’ calls from customers; provides feedback to reps on strengths and areas for improvement.Communicate with clients, vendors and other departments to ensure quality service delivery and customer satisfaction.Serve as an escalation point for resolving the most difficult customer issues.Responsible for performance appraisals, disciplinary actions, hiring/interviewing, promotions and salary changes.Provide coaching and mentoring to contact center supervisors and team leads and occasionally to customer service representatives.Approve and implements streamlining opportunities and process improvements.Coordinate customer service activities with other internal functions.Track and reports contact center performance against objectives and goals, i.e., quality, call volume, customer satisfaction, etc.May serve as a backup to more senior customer service management in their absence.Other related duties assigned as needed.EDUCATION REQUIREMENTSBachelor’s degreeWhat you bring7+ Years or above in the Call Center Industry (5 years in leadership role, including minimum 2 years as an Operations Manager)Deep understanding of a Voice Financial AccountExperience in managing metrics like Customer Satisfaction, Net Promoter Score and First Call ResolutionConsiderable knowledge of the company’s products, services and business operations to enable resolution of customer inquiriesExcellent customer service skills that build high levels of customer satisfactionExcellent verbal and written communication skillsDetail-oriented and customer-driven approach focusing on providing the highest quality products and services to FIS internal and external customersAbility to lead and manage large teams effectivelyWorking knowledge of workforce management practices and tools, e.g., scheduling software, quality monitoring softwareDemonstrate problem-solving and decision-making skillsDemonstrate analytic and root cause analysis skills for process improvement initiativesDemonstrates effective people skills and sensitivities when dealing with othersGeneral skill in the use of MS Office and other standard software applications required to perform the job dutiesAbility to work both independently and in a team environmentWhat we offer youA fantastic range of benefits including medical, dental, vision, and paid vacationGreat work space with dedicated and motivated colleaguesA broad range of professional education and personal development possibilities – FIS is your final career step!A variety of career development tools, resources and opportunitiesA work environment built on collaboration, flexibility and respectPrivacy StatementFIS is committed to protecting the privacy and security of all personal information that we process in order to provide services to our clients. For specific information on how FIS protects personal information online, please see the Online Privacy Notice.Sourcing ModelRecruitment at FIS works primarily on a direct sourcing model; a relatively small portion of our hiring is through recruitment agencies. FIS does not accept resumes from recruitment agencies which are not on the preferred supplier list and is not responsible for any related fees for resumes submitted to job postings, our employees, or any other part of our company.",https://ph.indeed.com/rc/clk?jk=e8cd3d4c9483ac16&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKl2EmR5b7S6QupjHLpl-OUykN0wkll9wDHc3mnStM4Hmg&astse=95182df52e2dcb68&assa=1684
Accounting Manager (US Accounting),https://ph.indeed.com/rc/clk?jk=093ffcbde5f72a35&fccid=f398e5e81613c106&vjs=3,,Vine Branches Inc.,Able to guide and review entry level staff work.Position: Accounting Manager (US Accounting).Hours: 40 per week full time.Monthly Payroll run and accounting.,Philippines,30+ days ago,"Position: Accounting Manager (US Accounting)Location: RemoteHours: 40 per week full timeRate: up to Php 45,000/month for Full Time DOEWilling to pay more for qualified applicants.We are looking for an experienced Accounting Manager to be engaged with all parts of accounting, working from the transactional level through the financial statements level, utilizing the latest in cloud computing technology. Reports directly to the CEO, with integrity and excellence. Comprehension of the company mission, vision, and values and how internal financials affect or are affected by these. Give understanding and other contribution to or take an interest in various finance projects and will perform other duties as requested. You will take a leadership role in managing financial functions, including accounts payable/receivable, bank reconciliations and tax audits. Our ideal candidate makes use of strong analytical capabilities to create detailed financial reports and forecasts.Duties and Responsibilities:Supervise junior accountants, troubleshoot difficult accounting scenarioAccounts Payable processingAccounts Receivable processingMonthly Payroll run and accountingCompletion of Month End journals and closing adjustmentsPreparation and completion of monthly financial reportsBank and GL ReconciliationsIdentify significant risks and able to analyze and document in a technical memoAble to guide and review entry level staff workDrafts process documentationPerform other task that may be assigned from time to timeRequirements and Qualifications:Candidate must possess at least a Bachelor's/College Degree in Finance/ Accountancy or equivalentWith CPA License is preferredAt least 6 years or more experience in Finance or General Accounting with US Compliance, and 1 to 2 years managerial experience.Experience with the Big 4 audit firms is a plusKnowledge in US GAAP is an advantageQuickbooks Online experiencePreferred Experience:US TaxationCPA equivalent (MBA or CFA) a plus.Other accounting software such as: Odoo, BuildiumExperience with US real estate rental industry and HOA management industry.Working physically in the USAbout Us: We are a real estate enterprise consisting of multiple subsidiaries including property management, real estate development, architectural design, photography and software based in the San Francisco Bay Area.To apply for this position, kindly proceed in answering our Skills rating form for screening purposes.Link here - https://forms.gle/M5nchqiMCVV1GU8C6",https://ph.indeed.com/rc/clk?jk=093ffcbde5f72a35&from=vj&pos=bottom&sjdu=kREejwbDMkx22-K2gj7AzYDDplm6SwWjHcxyoDIphKnR4PisqBBib0vZjBe5aW8mkN0wkll9wDHc3mnStM4Hmg&astse=518e1538fa6ee9bb&assa=5473
